ID_Transaccion,Fecha_Venta,Cliente,Producto,Categoria,Sucursal,Cantidad,Precio_Unitario,Descuento
1,2024-10-16,TechSolutions Inc,Soporte Premium,Servicios,Este,4,1200,0.07
2,2024-08-07,TECHSOLUTIONS INC,Consultoría Hora,Servicios,Sur,4,150,0.04
3,2023-04-20,software house,Licencia Enterprise,Software,Norte,1,5000,0.1
4,2024-02-26,cloudnet,Soporte Premium,Servicios,Central,10,1200,0.05
5,2024-05-10,DataSystems,Consultoría Hora,Servicios,Norte,3,150,0.01
6,2023-03-29,SoftWare House,Consultoría Hora,Servicios,Oeste,9,150,0.03
7,2023-12-14,Global Corp,Licencia Enterprise,Software,Central,10,5000,0.06
8,2023-08-14,GLOBAL CORP,Consultoría Hora,Servicios,Norte,10,150,0.01
9,2024-01-31,DATASYSTEMS,Soporte Premium,Servicios,Norte,5,1200,0.06
10,2024-07-16,DataSystems,Soporte Premium,Servicios,Norte,6,1200,0.04
11,2024-01-14,TechSolutions Inc,Soporte Premium,Servicios,Norte,2,1200,0.03
12,2024-03-08,SOFTWARE HOUSE,Soporte Premium,Servicios,Oeste,7,1200,0.06
13,2024-08-28,SoftWare House,Pack Seguridad,Software,Oeste,2,800,0.04
14,2024-06-28,global corp,Licencia Enterprise,Software,Norte,10,5000,0.04
15,2024-07-06,DATASYSTEMS,Licencia Enterprise,Software,Sur,2,5000,0.05
16,2024-04-23,TECHSOLUTIONS INC,Servidor Dedicado,Hardware,Central,6,3500,0.09
17,2023-06-28,DataSystems,Pack Seguridad,Software,Central,10,800,0.08
18,2024-07-14,SoftWare House,Servidor Dedicado,Hardware,Sur,6,3500,0.07
19,2023-01-06,SOFTWARE HOUSE,Consultoría Hora,Servicios,Central,4,150,0.03
20,2024-05-17,SOFTWARE HOUSE,Consultoría Hora,Servicios,Sur,3,150,0.09
21,2024-03-03,TECHSOLUTIONS INC,Licencia Enterprise,Software,Sur,1,5000,0.02
22,2023-12-09,Global Corp,Licencia Enterprise,Software,Este,3,5000,0.02
